player,sens,edpi
MACHINERIS,0.4,320.0
MARKEZZ,0.15,240.0
MCD,0.4,320.0
MOLSI,0.718,287.2
MT1,0.8,320.0
Madelyn,0.26,208.0
Magnus,0.5,200.0
Maiko,0.371,296.8
makiba,0.3,240.0
mandjos1k,0.25,200.0
Mannick,0.35,280.0
marteen,0.43,344.0
Marved,0.306,244.8
Mary,0.17,272.0
Matrixx,0.35,140.0
Mazino,0.22,352.0
mcnuggets,0.409,163.6
Meiy,0.27,216.0
mercedes,0.4,160.0
MesmeR,0.18,288.0
miNt,0.2,320.0
michey,0.5,400.0
Mikelelle,0.1,320.0
mimi,0.32,256.0
Mimori,0.5,200.0
mindfreak,0.6,240.0
MiniBoo,0.29,232.0
MiniNiwde,0.47,376.0
Minty,0.19,304.0
Mited,0.7,280.0
mittiii,0.393,314.4
mixtall,0.63,252.0
mixwell,0.69,276.0
mizu,0.31,248.0
mizuN,0.44,352.0
mmonch,0.4,320.0
mober,0.1,160.0
mocking,0.194,155.2
Mojo,0.275,440.0
MonOkson,0.135,216.0
moner,0.434,173.6
monyet,0.632,252.8
moose,0.29,232.0
Moothie,0.47,188.0
Morgan,0.1,160.0
Mot1on,0.35,280.0
Moves,0.425,340.0
nAts,0.49,392.0
NOKOCU,0.34,272.0
Nach1tt,0.51,408.0
Nahsie,0.278,222.4
Naifma7,0.314,251.2
nazek,0.613,245.2
Ne0kai,1.9,760.0
neT,0.44,176.0
Negradas,0.135,216.0
Neiker,0.135,216.0
nekky,0.3,240.0
neth,0.16,256.0
Neto,0.17,272.0
Newky,0.397,317.6
Nidxvilco,0.25,200.0
Nikoluk,0.375,300.0
Nirvana,0.61,244.0
nitr0,0.75,300.0
Nivera,0.173,138.4
n1zzy,0.666,532.8
nobody,0.28,224.0
Noor,0.38,304.0
noumit,0.4,320.0
noze,0.117,187.2
Nozwerr,0.45,360.0
nukkye,0.35,280.0
Nurfed,2.0,800.0
nvrfear,0.1,160.0
NyaRu,0.31,248.0
OLIZERA,0.32,256.0
OXY,0.23,184.0
oitaN,0.44,176.0
olzerr,0.465,372.0
Onecuber,0.4,160.0
Optimist,0.412,329.6
Outcazt,0.18,144.0
